  chunk 1: 4 proposals, 0 badged, 2 aporias
  chunk 2: 10 proposals, 1 badged, 7 aporias
  chunk 3: 33 proposals, 1 badged, 30 aporias
  chunk 4: 50 proposals, 1 badged, 46 aporias
  chunk 5: 51 proposals, 1 badged, 47 aporias
  chunk 6: 58 proposals, 1 badged, 54 aporias
  chunk 7: 67 proposals, 3 badged, 58 aporias
  chunk 8: 67 proposals, 3 badged, 58 aporias
  chunk 9: 69 proposals, 3 badged, 60 aporias
  chunk 10: 74 proposals, 3 badged, 65 aporias
  chunk 11: 97 proposals, 3 badged, 88 aporias
  chunk 12: 97 proposals, 3 badged, 88 aporias
  chunk 13: 109 proposals, 3 badged, 100 aporias
  chunk 14: 117 proposals, 3 badged, 108 aporias
  chunk 15: 120 proposals, 3 badged, 111 aporias
  chunk 16: 126 proposals, 3 badged, 117 aporias
